movie_id,title,release_date,popularity,vote_average,vote_count,genre_names,budget,revenue,runtime,release_year,budget_per_rating,roi,profitable,popularity_per_vote,budget_category,primary_genre,genre_count
1061474,Superman,2025-07-09,103.8756,7.4,3665,"['Science Fiction', 'Adventure', 'Action']",225000000,615800000,130,2025,30405405.405405402,173.6888888888889,True,0.028342592087312417,Very High,Science Fiction,3
1328803,Prisoner of War,2025-09-19,90.9477,7.0,94,"['Action', 'War', 'Thriller', 'History']",2000000,0,113,2025,285714.28571428574,-100.0,False,0.9675287234042553,Low,Action,4
1234821,Jurassic World Rebirth,2025-07-01,82.7069,6.39,2354,"['Science Fiction', 'Adventure', 'Action']",180000000,868349601,134,2025,28169014.084507044,382.416445,True,0.03513462192013594,Very High,Science Fiction,3
533533,TRON: Ares,2025-10-08,81.7995,6.4,289,"['Science Fiction', 'Adventure', 'Action']",180000000,103000000,119,2025,28125000.0,-42.77777777777778,False,0.28304325259515567,Very High,Science Fiction,3
1078605,Weapons,2025-08-04,79.8971,7.4,1993,"['Horror', 'Mystery']",38000000,265894217,129,2025,5135135.135135135,599.7216236842105,True,0.04008886101354742,Medium,Horror,2
1054867,One Battle After Another,2025-09-23,72.4844,7.741,997,"['Action', 'Thriller', 'Crime']",130000000,162500000,162,2025,16793695.904921845,25.0,True,0.0727025075225677,Very High,Action,3
1087192,How to Train Your Dragon,2025-06-06,70.5319,8.0,2086,"['Fantasy', 'Family', 'Action', 'Adventure']",150000000,635213100,125,2025,18750000.0,323.47540000000004,True,0.03381203259827421,Very High,Fantasy,4
1009640,Valiant One,2025-01-30,69.3624,6.525,59,"['War', 'Thriller', 'Action']",10000000,1236630,86,2025,1532567.049808429,-87.6337,False,1.1756338983050847,Low,War,3
756999,The Black Phone,2022-06-16,67.8831,7.552,5377,"['Horror', 'Thriller']",16000000,161441914,103,2022,2118644.0677966103,909.0119625,True,0.012624716384601078,Medium,Horror,2
1327862,Regretting You,2025-10-22,65.7274,7.147,17,"['Romance', 'Drama']",30000000,0,116,2025,4197565.412061005,-100.0,False,3.866317647058824,Medium,Romance,2
911430,F1,2025-06-25,65.0024,7.832,2440,"['Action', 'Drama']",250000000,626222234,156,2025,31920326.86414709,150.48889359999998,True,0.026640327868852457,Very High,Action,2
1364608,Anemone,2025-10-02,63.8164,6.2,18,['Drama'],11000000,1161830,125,2025,1774193.5483870967,-89.4379090909091,False,3.5453555555555556,Medium,Drama,1
980477,Ne Zha 2,2025-01-29,63.4256,8.0,417,"['Animation', 'Fantasy', 'Adventure', 'Action']",80000000,2150000000,144,2025,10000000.0,2587.5,True,0.15209976019184654,High,Animation,4
1280282,Gabby's Dollhouse: The Movie,2025-09-13,61.3706,6.9,30,"['Family', 'Comedy', 'Adventure', 'Animation']",32000000,45973395,98,2025,4637681.15942029,43.666859375,True,2.0456866666666667,Medium,Family,4
1007734,Nobody 2,2025-08-13,60.03,7.088,862,"['Action', 'Thriller']",25000000,38802325,89,2025,3527088.0361173814,55.20929999999999,True,0.06964037122969838,Medium,Action,2
157336,Interstellar,2014-11-05,59.9891,8.462,38101,"['Adventure', 'Drama', 'Science Fiction']",165000000,746606706,169,2014,19498936.421649728,352.48891272727275,True,0.001574475735544999,Very High,Adventure,3
1049942,Bambi: The Reckoning,2025-07-11,59.1418,6.0,66,"['Horror', 'Thriller']",325000,475347,80,2025,54166.666666666664,46.260615384615384,True,0.8960878787878789,Low,Horror,2
1175942,The Bad Guys 2,2025-07-24,57.3349,7.755,486,"['Family', 'Comedy', 'Crime', 'Adventure', 'Animation']",80000000,224738330,103,2025,10315925.209542232,180.92291250000002,True,0.11797304526748971,High,Family,5
1330421,Bone Lake,2025-10-02,53.484,5.3,11,"['Horror', 'Thriller', 'Mystery']",1000000,1299545,94,2025,188679.24528301888,29.9545,True,4.862181818181818,Low,Horror,3
552524,Lilo & Stitch,2025-05-17,52.9557,7.2,1773,"['Family', 'Science Fiction', 'Comedy', 'Adventure']",100000000,1037247842,108,2025,13888888.888888888,937.247842,True,0.029867851099830794,High,Family,4
1357886,Django Undisputed,2024-04-22,52.3589,6.056,9,['Western'],3,0,84,2024,0.4953764861294584,-100.0,False,5.817655555555556,Low,Western,1
24428,The Avengers,2012-04-25,51.2212,7.833,33621,"['Science Fiction', 'Action', 'Adventure']",220000000,1518815515,143,2012,28086301.544746585,590.3706886363636,True,0.0015234882960054729,Very High,Science Fiction,3
1062722,Frankenstein,2025-10-17,48.9036,8.3,28,"['Drama', 'Horror', 'Science Fiction']",120000000,0,150,2025,14457831.325301204,-100.0,False,1.7465571428571427,Very High,Drama,3
1422096,Good Boy,2025-10-01,47.5543,7.0,126,"['Horror', 'Thriller']",990000,6636591,73,2025,141428.57142857142,570.3627272727273,True,0.37741507936507934,Low,Horror,2
541671,Ballerina,2025-06-04,46.1938,7.326,1889,"['Action', 'Thriller', 'Crime']",90000000,137258395,125,2025,12285012.285012286,52.509327777777784,True,0.024454102699841187,High,Action,3
574475,Final Destination Bloodlines,2025-05-14,44.4409,7.1,2281,"['Horror', 'Mystery']",50000000,310430814,110,2025,7042253.521126761,520.861628,True,0.019483077597544935,Medium,Horror,2
354912,Coco,2017-10-27,43.8654,8.2,20316,"['Family', 'Animation', 'Music', 'Adventure']",175000000,814641172,105,2017,21341463.41463415,365.50924114285715,True,0.0021591553455404607,Very High,Family,4
615453,Ne Zha,2019-07-26,43.3774,7.891,695,"['Animation', 'Fantasy', 'Adventure']",22000000,742718496,110,2019,2787986.3135217335,3275.993163636364,True,0.06241352517985612,Medium,Animation,3
1035259,The Naked Gun,2025-07-30,43.0132,6.574,971,"['Comedy', 'Action', 'Crime']",42000000,101847396,85,2025,6388804.380894433,142.4938,True,0.04429783728115345,Medium,Comedy,3
1284120,The Ugly Stepsister,2025-03-07,42.756,7.239,510,"['Horror', 'Comedy', 'Fantasy', 'Drama']",4250000,4601915,109,2025,587097.665423401,8.28035294117647,True,0.08383529411764706,Low,Horror,4
933260,The Substance,2024-09-07,41.383,7.147,5240,"['Drama', 'Horror', 'Science Fiction']",17500000,76506196,141,2024,2448579.8237022525,337.1782628571429,True,0.007897519083969465,Medium,Drama,3
1241982,Moana 2,2024-11-21,40.734,7.032,2755,"['Family', 'Comedy', 'Adventure', 'Animation', 'Fantasy']",150000000,1059242164,100,2024,21331058.020477816,606.1614426666667,True,0.014785480943738657,Very High,Family,5
3933,Corpse Bride,2005-09-12,40.3875,7.582,9813,"['Romance', 'Fantasy', 'Animation']",40000000,118133252,77,2005,5275652.862041677,195.33313,True,0.004115713848975849,Medium,Romance,3
1022787,Elio,2025-06-18,39.6611,6.971,607,"['Family', 'Comedy', 'Adventure', 'Animation', 'Science Fiction']",150000000,153797125,98,2025,21517716.25304834,2.5314166666666664,True,0.06533953871499176,Very High,Family,5
1071585,M3GAN 2.0,2025-06-25,38.8747,7.406,924,"['Action', 'Science Fiction', 'Thriller']",25000000,39085942,120,2025,3375641.3718606536,56.343768000000004,True,0.04207218614718614,Medium,Action,3
1042834,Eden,2025-04-03,38.5299,6.8,265,"['Thriller', 'Drama']",50000000,1907486,129,2025,7352941.176470589,-96.18502799999999,False,0.14539584905660377,Medium,Thriller,2
950396,The Gorge,2025-02-13,38.4183,7.683,3105,"['Romance', 'Science Fiction', 'Thriller']",70000000,0,127,2025,9111024.339450736,-100.0,False,0.01237304347826087,High,Romance,3
278,The Shawshank Redemption,1994-09-23,37.6464,8.712,29081,"['Drama', 'Crime']",25000000,28341469,142,1994,2869605.142332415,13.365875999999998,True,0.0012945359513084145,Medium,Drama,2
986097,HIM,2025-09-18,37.2734,5.872,164,"['Horror', 'Mystery']",27000000,26609022,96,2025,4598092.643051771,-1.4480666666666666,False,0.2272768292682927,Medium,Horror,2
